title,rating
Обзор The Ascent. Что же в тебе такого?,6.0
Обзор Black Book. Василиса маленькая ведьма,8.0
Обзор Cris Tales. Между прошлым и будущим,6.0
Обзор Chernobylite. Неждалкер,6.0
Обзор игры F1 2021. Дарвин бы гордился,6.0
Обзор игры Song of Farca. Детектив на удалёнке,6.0
Обзор Neo: The World Ends with You. Сиквел ради сиквела,6.0
Обзор Monster Hunter Stories 2: Wings of Ruin. Ведьмак ловит яйца,6.0
Обзор Wonhon: A Vengeful Spirit. Душный дух,4.0
Обзор Death's Door. Три великана и две вороны,6.0
Обзор Boomerang X. Ода движению,6.0
"Обзор Guilty Gear Strive. Файтинг, жгущий напалмом",8.0
Обзор Chivalry II. Война без конечностей,8.0
Обзор Wildermyth. Генератор случайной квенты,8.0
"Обзор Scarlet Nexus. Экшен, ради которого можно стать анимешником",8.0
"Обзор Griftlands. Карточный roguelike, близкий к идеалу",10
Обзор Backbone. Пригретая на груди химера,6.0
Обзор «Ratchet & Clank: Сквозь миры». Старый друг лучше новых двух,8.0
Обзор Necromunda: Hired Gun. Кошмар перфекциониста,6.0
Обзор Biomutant. Рудиментарная мутация,6.0
"Обзор Hood: Outlaws & Legends. Воруй, убивай, гусей не трожь",4.0
Обзор NieR Replicant ver. 1.22474487139. Ненавижу и люблю,6.0
Обзор Resident Evil Village. Кирпичей не завезли,6.0
Обзор Ashwalkers. Пепел без искры,6.0
Обзор Returnal. Невыносимая цикличность бытия,8.0
Обзор Mr. Prepper. Ракета из консервных банок,4.0
Обзор Monster Hunter Rise. Самая дикая охота,10
Обзор Oddworld: Soulstorm. Мы не рабы!,8.0
Обзор Outriders. Планета несбывшихся надежд,6.0
Обзор Genesis Noir. Если бы научные формулы были музыкой,8.0
Обзор Evil Genius 2: World Domination. Не зря ждали 16 лет,8.0
"Обзор It Takes Two. Игра на двоих, которую вы обязательно пройдёте",8.0
Обзор Lust from Beyond. Такой секс нам не нужен,2.0
"Обзор The Life and Suffering of Sir Brante. Но в основном, конечно, страдания",8.0
Обзор Loop Hero. Отечественный «рогалик» от издателей Hotline Miami,8.0
"Обзор Olija. Очаровательная история, которую легко пропустить",6.0
Обзор Werewolf: The Apocalypse – Earthblood. Маскарад курильщика,4.0
Обзор Persona 5 Strikers. Дорогой фанфик,6.0
Обзор Little Nightmares 2. Детям здесь не место,8.0
Обзор Destruction AllStars. Даром не надо,4.0
Обзор Noita. Абсолютная физика,8.0
Обзор The Medium. «У нас есть Сайлент-Хилл дома»,8.0
"Обзор DOM RUSALOK. Кинг, Лавкрафт, Россия девяностых",8.0
Обзор Scott Pilgrim vs. the World: The Game — Complete Edition. Иногда они возвращаются,8.0
Обзор Hitman 3. Отшлифованный до бликов,8.0
Обзор Deep Rock Galactic. Скала и камень!,8.0
Обзор Twin Mirror. Случайная серия незнакомого сериала,4.0
Обзор World of Warcraft: Shadowlands. Прервалась связь времён,8.0
Обзор Chronos: Before the Ashes. Ребёнок на ринге MMA,6.0
Обзор Immortals Fenyx Rising. Бессмысленный эксперимент Ubisoft,6.0
Обзор Cyberpunk 2077. У CD Projekt Red получилось,10
Обзор Empire of Sin. Ромеро промахнулся,4.0
